ID,Lista,ETAPA1_G1t,ETAPA1_G6t,ETAPA2_G1t,ETAPA2_G6t,ETAPA3_G1t,ETAPA3_G6t,ETAPA4_G1t,ETAPA4_G6t,ID,Uniprot,PFAM,PFAMdescription,BP,BPdescription,MF,MFdescription,CC,CCdescription
TRINITY_DN12938_c0_g1_i1,TRINITY_DN12938_c0_g1_i1,379,431.797,173.651,136.969,4,126.135,466.963,7,TRINITY_DN12938_c0_g1_i1,DRE1F_ORYSJ,PF00847.21,AP2 domain   ,|0006355|0006952|0009873,|regulation of transcription DNA-templated|defense response|ethylene-activated signaling pathway,|0003700|0003677,|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN3464_c0_g1_i49,TRINITY_DN3464_c0_g1_i49,84.476,141.536,31.576,13.038,3.444,38.709,2.21,0,TRINITY_DN3464_c0_g1_i49,NEK6_ORYSJ,PF00069.26,Protein kinase domain  ,|0006468|0007017|0010366|0010311|0030865|0097435|0006468,|protein phosphorylation|microtubule-based process|negative regulation of ethylene biosynthetic process|lateral root formation|cortical cytoskeleton organization|supramolecular fiber organization|protein phosphorylation,|0004672|0005524|0004672|0005524,|protein kinase activity|ATP binding|protein kinase activity|ATP binding,|0055028|0016021,|cortical microtubule|integral component of membrane
TRINITY_DN3033_c0_g1_i3,TRINITY_DN3033_c0_g1_i3,587.387,379.667,260.136,156.368,80.055,448.79,0,0,TRINITY_DN3033_c0_g1_i3,PIN3_ARATH,PF03547.19,Membrane transport protein  ,|0009734|0060918|0010928|0055085|0010252|0048766|0048767|0009958|0009416,|auxin-activated signaling pathway|auxin transport|regulation of auxin mediated signaling pathway|transmembrane transport|auxin homeostasis|root hair initiation|root hair elongation|positive gravitropism|response to light stimulus,|0010329,|auxin efflux transmembrane transporter activity,|0005783|0016021|0009921|0016328|0009986|0012506|0005739,|endoplasmic reticulum|integral component of membrane|auxin efflux carrier complex|lateral plasma membrane|cell surface|vesicle membrane|mitochondrion
TRINITY_DN4109_c0_g2_i22,TRINITY_DN4109_c0_g2_i22,195.771,207.642,52.827,61.783,71.642,81.585,7.761,0,TRINITY_DN4109_c0_g2_i22,VIP2L_ARATH,PF00328.23,Histidine phosphatase superfamily (branch 2),|0016310|0032958|0006020|0009861|1904966|1905036|1900367|0120029|0050832|0036211|0044267,|phosphorylation|inositol phosphate biosynthetic process|inositol metabolic process|jasmonic acid and ethylene-dependent systemic resistance|positive regulation of vitamin E biosynthetic process|positive regulation of antifungal innate immune response|positive regulation of defense response to insect|proton export across plasma membrane|defense response to fungus|protein modification process|cellular protein metabolic process,|0102092|0052723|0052724|0033857|0000832|0000827|0000829|0005524|0046872|0008553|0004674,|5-diphosphoinositol pentakisphosphate 3-kinase activity|inositol hexakisphosphate 1-kinase activity|inositol hexakisphosphate 3-kinase activity|diphosphoinositol-pentakisphosphate kinase activity|inositol hexakisphosphate 5-kinase activity|inositol-13456-pentakisphosphate kinase activity|inositol heptakisphosphate kinase activity|ATP binding|metal ion binding|proton-exporting ATPase activity phosphorylative mechanism|protein serine/threonine kinase activity,|0005829|0005886|0009536|0016021,|cytosol|plasma membrane|plastid|integral component of membrane
TRINITY_DN1968_c1_g2_i3,TRINITY_DN1968_c1_g2_i3,1369.823,849.616,665.517,328.563,378.287,535.139,182.772,294.358,TRINITY_DN1968_c1_g2_i3,EIL1B_ORYSJ,PF04873.14,Ethylene insensitive 3  ,|0009873|0006355|0042742,|ethylene-activated signaling pathway|regulation of transcription DNA-templated|defense response to bacterium,|0003700|0003677|0005515,|DNA-binding transcription factor activity|DNA binding|protein binding,|0005634,|nucleus
TRINITY_DN3310_c0_g1_i3,TRINITY_DN3310_c0_g1_i3,122.551,94.813,210.162,454.651,432.223,2037.65,192.731,684.182,TRINITY_DN3310_c0_g1_i3,IAA9_ARATH,PF02309.17,AUX/IAA family   ,|0009734|0006355,|auxin-activated signaling pathway|regulation of transcription DNA-templated,.,.,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN10649_c0_g1_i21,TRINITY_DN10649_c0_g1_i21,42.788,10.471,0,0,0,55.129,0,0,TRINITY_DN10649_c0_g1_i21,GPA1_LOTJA,PF00503.21,G-protein alpha subunit  ,|0007188|0007188|0010476|0010244|0048584|0090333|0009845|0009787|0034260|0010027|0006952|0009742|0009749|0048639|0009738|0002764|0009785|0019236|0006571|0009094|0042127|0008219|0002684|0023056|0010647|0045088|0072593|0002376,|adenylate cyclase-modulating G protein-coupled receptor signaling pathway|adenylate cyclase-modulating G protein-coupled receptor signaling pathway|gibberellin mediated signaling pathway|response to low fluence blue light stimulus by blue low-fluence system|positive regulation of response to stimulus|regulation of stomatal closure|seed germination|regulation of abscisic acid-activated signaling pathway|negative regulation of GTPase activity|thylakoid membrane organization|defense response|brassinosteroid mediated signaling pathway|response to glucose|positive regulation of developmental growth|abscisic acid-activated signaling pathway|immune response-regulating signaling pathway|blue light signaling pathway|response to pheromone|tyrosine biosynthetic process|L-phenylalanine biosynthetic process|regulation of cell population proliferation|cell death|positive regulation of immune system process|positive regulation of signaling|positive regulation of cell communication|regulation of innate immune response|reactive oxygen species metabolic process|immune system process,|0031683|0001664|0003924|0019001|0031683|0001664|0003924|0019001|0032550|0035639|0032555|0046872|0005095|0016247|0051020,|G-protein beta/gamma-subunit complex binding|G protein-coupled receptor binding|GTPase activity|guanyl nucleotide binding|G-protein beta/gamma-subunit complex binding|G protein-coupled receptor binding|GTPase activity|guanyl nucleotide binding|purine ribonucleoside binding|purine ribonucleoside triphosphate binding|purine ribonucleotide binding|metal ion binding|GTPase inhibitor activity|channel regulator activity|GTPase binding,|0005834|1905360|0031234|0098797|0009506|0042579|0005789|0016021,|heterotrimeric G-protein complex|GTPase complex|extrinsic component of cytoplasmic side of plasma membrane|plasma membrane protein complex|plasmodesma|microbody|endoplasmic reticulum membrane|integral component of membrane
TRINITY_DN6487_c1_g1_i2,TRINITY_DN6487_c1_g1_i2,90.952,18.489,129.718,403.752,6.427,28.877,1,0,TRINITY_DN6487_c1_g1_i2,SWT15_ORYSI,PF03083.17,Sugar efflux transporter for intercellular,|0008643|0071836|0098656|0048316|0048609|0071695|0051260|0009790|0048653|0046865|0048589|0015849,|carbohydrate transport|nectar secretion|anion transmembrane transport|seed development|multicellular organismal reproductive process|anatomical structure maturation|protein homooligomerization|embryo development|anther development|terpenoid transport|developmental growth|organic acid transport,|0015144|1905201|0005515,|carbohydrate transmembrane transporter activity|gibberellin transmembrane transporter activity|protein binding,|0005886|0032588|0016021|0012506,|plasma membrane|trans-Golgi network membrane|integral component of membrane|vesicle membrane
TRINITY_DN2845_c0_g1_i14,TRINITY_DN2845_c0_g1_i14,1852.039,2203.495,4975.049,2658.18,1159.214,2218.614,1488.365,1055.009,TRINITY_DN2845_c0_g1_i14,INO1_SESIN,PF07994.13,Myo-inositol-1-phosphate synthase   ,|0006021|0008654|0009793|0010264|0006658|0050832|0045017|0042398|0042742|0051607|0016036|0009733,|inositol biosynthetic process|phospholipid biosynthetic process|embryo development ending in seed dormancy|myo-inositol hexakisphosphate biosynthetic process|phosphatidylserine metabolic process|defense response to fungus|glycerolipid biosynthetic process|cellular modified amino acid biosynthetic process|defense response to bacterium|defense response to virus|cellular response to phosphate starvation|response to auxin,|0004512|0005515,|inositol-3-phosphate synthase activity|protein binding,|0005737|0005634|0016021,|cytoplasm|nucleus|integral component of membrane
TRINITY_DN584_c0_g1_i6,TRINITY_DN584_c0_g1_i6,1459.134,966.686,778.704,447.212,445.298,1034.378,257.155,487.649,TRINITY_DN584_c0_g1_i6,ARFG_ORYSJ,PF02309.17,AUX/IAA family   ,|0009734|0006355,|auxin-activated signaling pathway|regulation of transcription DNA-templated,|0003677,|DNA binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN2725_c0_g2_i3,TRINITY_DN2725_c0_g2_i3,112.105,59.637,23.534,5.198,0,89.321,0,0,TRINITY_DN2725_c0_g2_i3,ASA2_ORYSJ,PF00425.19,chorismate binding enzyme  ,|0000162|0034968|0006260|0000162|0010311|0009851|0009723|0009611|0010600|0034968|0015074|0006508,|tryptophan biosynthetic process|histone lysine methylation|DNA replication|tryptophan biosynthetic process|lateral root formation|auxin biosynthetic process|response to ethylene|response to wounding|regulation of auxin biosynthetic process|histone lysine methylation|DNA integration|proteolysis,|0004049|0018024|0004049|0018024|0004222|0008270|0005515|0003676,|anthranilate synthase activity|histone-lysine N-methyltransferase activity|anthranilate synthase activity|histone-lysine N-methyltransferase activity|metalloendopeptidase activity|zinc ion binding|protein binding|nucleic acid binding,|0009507|0005950|0016021|0009507|0005950|0009532|0031012|0016021,|chloroplast|anthranilate synthase complex|integral component of membrane|chloroplast|anthranilate synthase complex|plastid stroma|extracellular matrix|integral component of membrane
TRINITY_DN5331_c0_g1_i2,TRINITY_DN5331_c0_g1_i2,813.043,362.183,1106.546,1284.275,279.251,715.158,460.392,713.01,TRINITY_DN5331_c0_g1_i2,AX22D_VIGRR,PF02309.17,AUX/IAA family   ,|0009734|0006355|0000162,|auxin-activated signaling pathway|regulation of transcription DNA-templated|tryptophan biosynthetic process,|0042802|0000976|0004425,|identical protein binding|transcription regulatory region sequence-specific DNA binding|indole-3-glycerol-phosphate synthase activity,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN527_c0_g1_i33,TRINITY_DN527_c0_g1_i33,445.855,149.605,38.535,0,68.858,64.532,0,0,TRINITY_DN527_c0_g1_i33,BH049_ARATH,PF00010.27,Helix-loop-helix DNA-binding domain  ,|0006355|0009739,|regulation of transcription DNA-templated|response to gibberellin,|0046983|0003700|0003677,|protein dimerization activity|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN5718_c0_g2_i3,TRINITY_DN5718_c0_g2_i3,0,3.581,23.578,52.684,20.024,39.979,87.048,0,TRINITY_DN5718_c0_g2_i3,Y1934_ORYSJ,PF02362.22,B3 DNA binding domain ,|0006355|0009873|0006952|0071456|1903507|2000113,|regulation of transcription DNA-templated|ethylene-activated signaling pathway|defense response|cellular response to hypoxia|negative regulation of nucleic acid-templated transcription|negative regulation of cellular macromolecule biosynthetic process,|0003700|0003677|0001067|0005515,|DNA-binding transcription factor activity|DNA binding|regulatory region nucleic acid binding|protein binding,|0005634,|nucleus
TRINITY_DN8922_c1_g1_i1,TRINITY_DN8922_c1_g1_i1,10,12,7,198.874,7,345,1,0,TRINITY_DN8922_c1_g1_i1,LHT1_ARATH,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009734|0055085,|amino acid transport|auxin-activated signaling pathway|transmembrane transport,|0015293,|symporter activity,|0005886|0016021,|plasma membrane|integral component of membrane
TRINITY_DN3298_c0_g1_i5,TRINITY_DN3298_c0_g1_i5,167.136,121.934,68.036,41.604,0,170.583,4.911,8.514,TRINITY_DN3298_c0_g1_i5,RBK1_ARATH,PF00069.26,Protein kinase domain  ,|0006468|0071369|0050832|0018212|0090502,|protein phosphorylation|cellular response to ethylene stimulus|defense response to fungus|peptidyl-tyrosine modification|RNA phosphodiester bond hydrolysis endonucleolytic,|0004674|0005524|0051020|0004713|0004523|0003676,|protein serine/threonine kinase activity|ATP binding|GTPase binding|protein tyrosine kinase activity|RNA-DNA hybrid ribonuclease activity|nucleic acid binding,|0005829|0012505|0005634|0016020,|cytosol|endomembrane system|nucleus|membrane
TRINITY_DN11763_c0_g1_i5,TRINITY_DN11763_c0_g1_i5,63.607,48.879,117.618,159.873,231.547,385.741,637.897,34.556,TRINITY_DN11763_c0_g1_i5,PHT1_ORYSJ,PF02458.16,Transferase family   ,|0009963|0010252|0009809,|positive regulation of flavonoid biosynthetic process|auxin homeostasis|lignin biosynthetic process,|0016747,|transferase activity transferring acyl groups other than amino-acyl groups,|0005829|0016020,|cytosol|membrane
TRINITY_DN3464_c0_g1_i25,TRINITY_DN3464_c0_g1_i25,354.871,254.77,49.522,0,5.353,0,0,0,TRINITY_DN3464_c0_g1_i25,NEK6_ORYSJ,PF00069.26,Protein kinase domain  ,|0006468|0006468|0010366|0010311|0043622,|protein phosphorylation|protein phosphorylation|negative regulation of ethylene biosynthetic process|lateral root formation|cortical microtubule organization,|0004672|0005524|0004672|0005524,|protein kinase activity|ATP binding|protein kinase activity|ATP binding,|0016021,|integral component of membrane
TRINITY_DN2904_c0_g1_i6,TRINITY_DN2904_c0_g1_i6,63,28,108,140.097,86,543,2881.219,59,TRINITY_DN2904_c0_g1_i6,ERF80_ARATH,PF00847.21,AP2 domain   ,|0006355|0006952|0009414|0009737|1903507|2000113|0009873,|regulation of transcription DNA-templated|defense response|response to water deprivation|response to abscisic acid|negative regulation of nucleic acid-templated transcription|negative regulation of cellular macromolecule biosynthetic process|ethylene-activated signaling pathway,|0003700|0003677|0001067|0005515,|DNA-binding transcription factor activity|DNA binding|regulatory region nucleic acid binding|protein binding,|0005634,|nucleus
TRINITY_DN5331_c1_g1_i3,TRINITY_DN5331_c1_g1_i3,280.617,337.852,534.577,744.758,245.773,891.067,29.75,47.118,TRINITY_DN5331_c1_g1_i3,IAA27_ARATH,PF02309.17,AUX/IAA family   ,|1901332|0009734|0006355,|negative regulation of lateral root development|auxin-activated signaling pathway|regulation of transcription DNA-templated,|0005515,|protein binding,|0005634,|nucleus
TRINITY_DN6519_c0_g1_i1,TRINITY_DN6519_c0_g1_i1,13.797,12.338,49.134,43.463,13.032,49.46,0,39.498,TRINITY_DN6519_c0_g1_i1,AAP6_ARATH,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009734|0055085|0046938|0015740|0010038|0015718|0006869|0018215|0006812,|amino acid transport|auxin-activated signaling pathway|transmembrane transport|phytochelatin biosynthetic process|C4-dicarboxylate transport|response to metal ion|monocarboxylic acid transport|lipid transport|protein phosphopantetheinylation|cation transport,|0015293|0015172|0016756|0015175|0046872,|symporter activity|acidic amino acid transmembrane transporter activity|glutathione gamma-glutamylcysteinyltransferase activity|neutral amino acid transmembrane transporter activity|metal ion binding,|0005886|0016021,|plasma membrane|integral component of membrane
TRINITY_DN20026_c0_g1_i3,TRINITY_DN20026_c0_g1_i3,199,177.017,97,67,155,559,128,161,TRINITY_DN20026_c0_g1_i3,MAX2A_PETHY,PF18511.2,F-box    ,|0031146|0010187|1902584|0009934|1900618|0009926|0042335|0010016|0009414|0009416|0009734|0016567,|SCF-dependent proteasomal ubiquitin-dependent protein catabolic process|negative regulation of seed germination|positive regulation of response to water deprivation|regulation of meristem structural organization|regulation of shoot system morphogenesis|auxin polar transport|cuticle development|shoot system morphogenesis|response to water deprivation|response to light stimulus|auxin-activated signaling pathway|protein ubiquitination,|0005515,|protein binding,|0019005|0005634,|SCF ubiquitin ligase complex|nucleus
TRINITY_DN10649_c0_g1_i16,TRINITY_DN10649_c0_g1_i16,0,0,12.671,15.149,0,0,0,0,TRINITY_DN10649_c0_g1_i16,GPA1_LOTJA,PF00503.21,G-protein alpha subunit  ,|0007188|0010476|0010244|0048584|0090333|0009845|0009787|0034260|0010027|0006952|0009742|0009749|0048639|0009738|0002764|0009785|0019236|0006571|0009094|0042127|0008219|0002684|0023056|0010647|0045088|0072593|0002376,|adenylate cyclase-modulating G protein-coupled receptor signaling pathway|gibberellin mediated signaling pathway|response to low fluence blue light stimulus by blue low-fluence system|positive regulation of response to stimulus|regulation of stomatal closure|seed germination|regulation of abscisic acid-activated signaling pathway|negative regulation of GTPase activity|thylakoid membrane organization|defense response|brassinosteroid mediated signaling pathway|response to glucose|positive regulation of developmental growth|abscisic acid-activated signaling pathway|immune response-regulating signaling pathway|blue light signaling pathway|response to pheromone|tyrosine biosynthetic process|L-phenylalanine biosynthetic process|regulation of cell population proliferation|cell death|positive regulation of immune system process|positive regulation of signaling|positive regulation of cell communication|regulation of innate immune response|reactive oxygen species metabolic process|immune system process,|0031683|0001664|0003924|0019001|0032550|0035639|0032555|0046872|0005095|0016247|0051020,|G-protein beta/gamma-subunit complex binding|G protein-coupled receptor binding|GTPase activity|guanyl nucleotide binding|purine ribonucleoside binding|purine ribonucleoside triphosphate binding|purine ribonucleotide binding|metal ion binding|GTPase inhibitor activity|channel regulator activity|GTPase binding,|1905360|0031234|0098797|0009506|0042579|0005789|0016021,|GTPase complex|extrinsic component of cytoplasmic side of plasma membrane|plasma membrane protein complex|plasmodesma|microbody|endoplasmic reticulum membrane|integral component of membrane
